Target,VulnerabilityID,Package,InstalledVersion,FixedVersion,Severity,Title,PrimaryURL
fairdatasystems/sevinternal:2026-04-16 (debian 13.4),CVE-2025-69720,libncurses6,6.5+20250216-2,N/A,HIGH,ncurses: ncurses: Buffer overflow vulnerability may lead to arbitrary code execution.,https://avd.aquasec.com/nvd/cve-2025-69720
fairdatasystems/sevinternal:2026-04-16 (debian 13.4),CVE-2026-28390,libssl3t64,3.5.5-1~deb13u1,3.5.5-1~deb13u2,HIGH,openssl: OpenSSL: Denial of Service due to NULL pointer dereference in CMS EnvelopedData processing,https://avd.aquasec.com/nvd/cve-2026-28390
fairdatasystems/sevinternal:2026-04-16 (debian 13.4),CVE-2026-29111,libsystemd0,257.9-1~deb13u1,N/A,HIGH,systemd: systemd: Arbitrary code execution or Denial of Service via spurious IPC API call data,https://avd.aquasec.com/nvd/cve-2026-29111
fairdatasystems/sevinternal:2026-04-16 (debian 13.4),CVE-2025-69720,libtinfo6,6.5+20250216-2,N/A,HIGH,ncurses: ncurses: Buffer overflow vulnerability may lead to arbitrary code execution.,https://avd.aquasec.com/nvd/cve-2025-69720
fairdatasystems/sevinternal:2026-04-16 (debian 13.4),CVE-2026-29111,libudev1,257.9-1~deb13u1,N/A,HIGH,systemd: systemd: Arbitrary code execution or Denial of Service via spurious IPC API call data,https://avd.aquasec.com/nvd/cve-2026-29111
fairdatasystems/sevinternal:2026-04-16 (debian 13.4),CVE-2013-7445,linux-libc-dev,6.12.74-2,N/A,HIGH,kernel: memory exhaustion via crafted Graphics Execution Manager (GEM) objects,https://avd.aquasec.com/nvd/cve-2013-7445
fairdatasystems/sevinternal:2026-04-16 (debian 13.4),CVE-2019-19449,linux-libc-dev,6.12.74-2,N/A,HIGH,kernel: mounting a crafted f2fs filesystem image can lead to slab-out-of-bounds read access in f2fs_build_segment_manager in fs/f2fs/segment.c,https://avd.aquasec.com/nvd/cve-2019-19449
fairdatasystems/sevinternal:2026-04-16 (debian 13.4),CVE-2019-19814,linux-libc-dev,6.12.74-2,N/A,HIGH,kernel: out-of-bounds write in __remove_dirty_segment in fs/f2fs/segment.c,https://avd.aquasec.com/nvd/cve-2019-19814
fairdatasystems/sevinternal:2026-04-16 (debian 13.4),CVE-2021-3847,linux-libc-dev,6.12.74-2,N/A,HIGH,kernel: low-privileged user privileges escalation,https://avd.aquasec.com/nvd/cve-2021-3847
fairdatasystems/sevinternal:2026-04-16 (debian 13.4),CVE-2021-3864,linux-libc-dev,6.12.74-2,N/A,HIGH,kernel: descendant's dumpable setting with certain SUID binaries,https://avd.aquasec.com/nvd/cve-2021-3864
fairdatasystems/sevinternal:2026-04-16 (debian 13.4),CVE-2024-21803,linux-libc-dev,6.12.74-2,N/A,HIGH,kernel: bluetooth: use-after-free vulnerability in af_bluetooth.c,https://avd.aquasec.com/nvd/cve-2024-21803
fairdatasystems/sevinternal:2026-04-16 (debian 13.4),CVE-2024-58015,linux-libc-dev,6.12.74-2,N/A,HIGH,kernel: wifi: ath12k: Fix for out-of bound access error,https://avd.aquasec.com/nvd/cve-2024-58015
fairdatasystems/sevinternal:2026-04-16 (debian 13.4),CVE-2024-58093,linux-libc-dev,6.12.74-2,N/A,HIGH,kernel: Linux kernel: PCI/ASPM use-after-free during hot-unplug,https://avd.aquasec.com/nvd/cve-2024-58093
fairdatasystems/sevinternal:2026-04-16 (debian 13.4),CVE-2025-22104,linux-libc-dev,6.12.74-2,N/A,HIGH,kernel: ibmvnic: Use kernel helpers for hex dumps,https://avd.aquasec.com/nvd/cve-2025-22104
fairdatasystems/sevinternal:2026-04-16 (debian 13.4),CVE-2025-38137,linux-libc-dev,6.12.74-2,N/A,HIGH,kernel: PCI/pwrctrl: Cancel outstanding rescan work when unregistering,https://avd.aquasec.com/nvd/cve-2025-38137
fairdatasystems/sevinternal:2026-04-16 (debian 13.4),CVE-2025-38187,linux-libc-dev,6.12.74-2,N/A,HIGH,kernel: drm/nouveau: fix a use-after-free in r535_gsp_rpc_push(),https://avd.aquasec.com/nvd/cve-2025-38187
fairdatasystems/sevinternal:2026-04-16 (debian 13.4),CVE-2025-38204,linux-libc-dev,6.12.74-2,N/A,HIGH,kernel: jfs: fix array-index-out-of-bounds read in add_missing_indices,https://avd.aquasec.com/nvd/cve-2025-38204
fairdatasystems/sevinternal:2026-04-16 (debian 13.4),CVE-2025-38206,linux-libc-dev,6.12.74-2,N/A,HIGH,kernel: Kernel: Double free vulnerability in exFAT filesystem can lead to denial of service,https://avd.aquasec.com/nvd/cve-2025-38206
fairdatasystems/sevinternal:2026-04-16 (debian 13.4),CVE-2025-38421,linux-libc-dev,6.12.74-2,N/A,HIGH,kernel: platform/x86/amd: pmf: Use device managed allocations,https://avd.aquasec.com/nvd/cve-2025-38421
fairdatasystems/sevinternal:2026-04-16 (debian 13.4),CVE-2025-38584,linux-libc-dev,6.12.74-2,N/A,HIGH,kernel: padata: Fix pd UAF once and for all,https://avd.aquasec.com/nvd/cve-2025-38584
fairdatasystems/sevinternal:2026-04-16 (debian 13.4),CVE-2025-38627,linux-libc-dev,6.12.74-2,N/A,HIGH,kernel: f2fs: compress: fix UAF of f2fs_inode_info in f2fs_free_dic,https://avd.aquasec.com/nvd/cve-2025-38627
fairdatasystems/sevinternal:2026-04-16 (debian 13.4),CVE-2025-38636,linux-libc-dev,6.12.74-2,N/A,HIGH,kernel: rv: Use strings in da monitors tracepoints,https://avd.aquasec.com/nvd/cve-2025-38636
fairdatasystems/sevinternal:2026-04-16 (debian 13.4),CVE-2025-39859,linux-libc-dev,6.12.74-2,N/A,HIGH,kernel: ptp: ocp: fix use-after-free bugs causing by ptp_ocp_watchdog,https://avd.aquasec.com/nvd/cve-2025-39859
fairdatasystems/sevinternal:2026-04-16 (debian 13.4),CVE-2025-39862,linux-libc-dev,6.12.74-2,N/A,HIGH,kernel: wifi: mt76: mt7915: fix list corruption after hardware restart,https://avd.aquasec.com/nvd/cve-2025-39862
fairdatasystems/sevinternal:2026-04-16 (debian 13.4),CVE-2025-39958,linux-libc-dev,6.12.74-2,N/A,HIGH,kernel: iommu/s390: Make attach succeed when the device was surprise removed,https://avd.aquasec.com/nvd/cve-2025-39958
fairdatasystems/sevinternal:2026-04-16 (debian 13.4),CVE-2025-40064,linux-libc-dev,6.12.74-2,N/A,HIGH,kernel: smc: Fix use-after-free in __pnet_find_base_ndev(),https://avd.aquasec.com/nvd/cve-2025-40064
fairdatasystems/sevinternal:2026-04-16 (debian 13.4),CVE-2025-40135,linux-libc-dev,6.12.74-2,N/A,HIGH,kernel: ipv6: use RCU in ip6_xmit(),https://avd.aquasec.com/nvd/cve-2025-40135
fairdatasystems/sevinternal:2026-04-16 (debian 13.4),CVE-2025-40158,linux-libc-dev,6.12.74-2,N/A,HIGH,kernel: ipv6: use RCU in ip6_output(),https://avd.aquasec.com/nvd/cve-2025-40158
fairdatasystems/sevinternal:2026-04-16 (debian 13.4),CVE-2025-40168,linux-libc-dev,6.12.74-2,N/A,HIGH,kernel: smc: Use __sk_dst_get() and dst_dev_rcu() in smc_clc_prfx_match(),https://avd.aquasec.com/nvd/cve-2025-40168
